Name, Honest Client Num, Client Time, Server Time(Amt.), Comm. Cost(KB)AML Groth16, 500, 2.48901284s, 1.497809ms, 2.171875
AML Plonk, 500, 10.311058344s, 3.259131ms, 2.55078125
AML Groth16, 500, 2.542054114s, 1.510923ms, 2.171875
AML Plonk, 500, 10.457493106s, 2.860726ms, 2.55078125
AML Groth16, 500, 2.480626925s, 1.800167ms, 2.171875
AML Plonk, 500, 10.277885092s, 3.78439ms, 2.55078125
AML Groth16, 500, 2.483469419s, 1.534086ms, 2.171875
AML Plonk, 500, 10.368017727s, 3.191528ms, 2.55078125
AML Groth16, 500, 2.374799214s, 1.423726ms, 2.171875
AML Plonk, 500, 10.539538136s, 3.157278ms, 2.55078125
