Vec Sum Plonk, 500, 10.191873377s, 3.63232ms, 2.171875
Vec Sum Groth16, 500, 9.942889729s, 2.819547ms, 2.171875
Vec Sum Groth16, 500, 9.706817337s, 3.868836ms, 2.171875
Vec Sum Groth16, 500, 10.890719584s, 4.697444ms, 2.171875
Vec Sum Groth16, 500, 11.948451671s, 3.844359ms, 2.171875
Vec Sum Groth16, 500, 11.689423731s, 3.501243ms, 2.171875
Vec Sum Plonk, 500, 11.007884912s, 7.397607ms, 2.55078125
Vec Sum Plonk, 500, 11.432426186s, 4.387082ms, 2.55078125
Vec Sum Plonk, 500, 10.61007501s, 5.178227ms, 2.55078125
Vec Sum Plonk, 500, 10.685587032s, 6.399575ms, 2.55078125
Vec Sum Plonk, 500, 10.690391851s, 4.144158ms, 2.55078125
Vec Sum Groth16, 500, 11.272278369s, 3.471978ms, 2.171875
